Training Iterations; Lorentz , DerivLorentz , Sigmoid , Tanh , ReLU
3100.0;0.7096196410451049,0.17037821894267474,0.00017179917390771628
3200.0;0.7063531767140466,0.17026430081597474,0.00015546571537664803
3300.0;0.7036935043070648,0.17015364632263993,0.00014133472035394908
3400.0;0.7014983095081873,0.17004606520679857,0.0001290284727276717
3500.0;0.6996610238258744,0.16994138316301494,0.00011824695157116805
3600.0;0.6981025970885575,0.16983944015111074,0.00010874936231273465
3700.0;0.6967642460190818,0.16974008892384274,0.00010034061001771488
3800.0;0.6956018872644044,0.16964319373611275,9.286125491402452e-05
3900.0;0.6945820866197556,0.16954862920967148,8.61799592155875e-05
4000.0;0.693679170306606,0.16945627933155594,8.018774135866543e-05
4100.0;0.6928731739246482,0.16936603656797972,7.479355844335569e-05
4200.0;0.6921483808111818,0.1692778010782451,6.992087635341534e-05
4300.0;0.6914922722087488,0.16919148001559586,6.550498242077815e-05
4400.0;0.6908947656458352,0.16910698690387652,6.149086204111999e-05
4500.0;0.690347656316443,0.16902424108048256,5.783150766623887e-05
4600.0;0.689844202707701,0.1689431671974446,5.448656222762553e-05
4700.0;0.6893788157665617,0.16886369477362756,5.142122336909885e-05
4800.0;0.6889468231782827,0.16878575779198735,4.8605352645426694e-05
4900.0;0.6885442887216244,0.16870929433664306,4.601274696799865e-05
5000.0;0.6881678724392171,0.16863424626521314,4.362053935657417e-05
5100.0;0.6878147213671175,0.16856055891245472,4.140870340446045e-05
5200.0;0.6874823833725252,0.16848818082175,3.935964143262727e-05
5300.0;0.6871687386319871,0.16841706350141644,3.745784055986405e-05
5400.0;0.6868719446986131,0.16834716120318874,3.568958418636006e-05
5500.0;0.6865903921279134,0.16827843072054358,3.404270892097841e-05
5600.0;0.6863226683751005,0.16821083120481403,3.250639895708236e-05
5700.0;0.6860675282226953,0.1681443239972819,3.1071011450618605e-05
5800.0;0.6858238694019677,0.1680788724756461,2.9727927676520588e-05
5900.0;0.6855907123742729,0.16801444191344544,2.846942570919188e-05
6000.0;0.6853671834663871,0.1679509993511757,2.7288571146674647e-05
6100.0;0.6851525007271767,0.1678885134779773,2.617912301833624e-05
6200.0;0.6849459620055484,0.1678269545228944,2.513545251588414e-05
6300.0;0.6847469348518677,0.1677662941548112,2.415247259204807e-05
